公司名称,关闭时间,成立时间,产品简介,行业,地点,获投状态,存活天数,logo,行业标签,关闭原因
够花贝,2020-04-15,2015-09-01,够花贝是一款以人工智能技术驱动，链接用户和场景，提供信用消费的软件，主要为大众消费者及特定的机构提供信息咨询、信用评估、大数据分析、信用管理等信息技术服务，并提供借款服务，以实现各种消费需求，提升消费体验，隶属于深圳市烈照阳金融服务有限公司。,金融,广东,尚未获投,1688,https://cdn.itjuzi.com/images/e4a3862ac05a1c012110715f4793d1b3.png,金融、信用及征信、金融综合服务、借贷、金融大数据、信用评估、信息服务、智能金融,政策监管、法律法规风险
甜蜜街,2020-04-15,2013-05-01,甜蜜街，是一个情侣购物分享社区。,电子商务,广东,不明确,2541,https://cdn.itjuzi.com/images/archive/4942.jpg,点评、社交电商、社区、电子商务、电商解决方案,市场伪需求
韩剧看看,2020-04-15,2014-05-01,韩剧看看是一家韩剧视频平台，平台提供韩流娱乐资源，包括韩国电影、音乐、电视剧原声带及娱乐八卦等视频内容，致力于为用户提供便捷的追剧体验。,文娱传媒,北京,尚未获投,2176,https://cdn.itjuzi.com/images/298027dbce51402f7e8eceb46bf909cd.png,电影、影视、文化娱乐、文娱传媒、电视,烧钱、融资能力不足、行业竞争
WeDive环太潜天堂,2020-04-15,2016-07-01,WeDive环太潜天堂是一个户外潜水运动旅游平台，主要针对中国的潜水旅游市场，基于微信，链接潜水地接社、教练和课程、行程活动和达人新导游、社区、俱乐部等生态从业者，提供完整的服务。,旅游,北京,不明确,1384,https://cdn.itjuzi.com/images/860ceaf0664594c0e28f2f9a3cc024a6.png,微信等腾讯平台、旅游、其他旅游服务、地接、户外活动、在线交流平台、导游服务、旅游服务、旅游B2B、旅游OTA、旅游OTA平台、旅游社交社区,烧钱、融资能力不足、行业竞争
海鸥借呗,2020-04-15,2017-06-01,海鸥借呗是一家湖北华哲网络科技有限公司推出的的移动互联网线上信用贷款平台，用户凭借个人身份证申请便可下款。,金融,湖北,尚未获投,1049,https://cdn.itjuzi.com/images/859dc8c14dbdf33d403a621ebd42dc8e.png,金融、借贷、信用贷款、贷款平台,政策监管、法律法规风险
YYLove,2020-04-15,2010-01-01,YYLove是专为成功男士和气质女神打造的高端真实交友社区，采用资料审核制度，以保障会员资料的真实可靠，同时通过多项认证体系，建立安全可靠地慢社交社区环境。,社交网络,浙江,尚未获投,3757,https://cdn.itjuzi.com/images/675757fca7d64a162dc085618918765f.png,新生代社交、婚恋交友、社交网络、社交、婚恋社交、社区论坛、交友社区,产品入场时机、烧钱、行业竞争
快告无线,2020-04-15,2014-04-01,快告无线是一家专注于市场移动互联网营销的网络公司，对ASO优化排名机制、微信互动营销、APP及移动电商领域的推广都有深入的研究和经验，为同程旅游、辣妈汇、蘑菇街等提供过解决方案和全案策划推广服务。,广告营销,浙江,尚未获投,2206,https://cdn.itjuzi.com/images/c83964ebba56042dfa44a0bd9620fb96.png,微信营销、APP、解决方案、广告营销、移动及网络广告、ASO、营销推广、数字营销、网络营销、移动营销、互动营销,融资能力不足、营销不足
产品研习社,2020-04-15,2015-07-01,产品研习社是一个在线学习产品知识的网站，网站拥有产品经理实战训练营，微课，电商实训营等课程。隶属于北京知无涯文化传播有限公司。,教育,北京,不明确,1750,https://cdn.itjuzi.com/images/8f5c58b4443e9988c9ea295759b51480.png,教育、职业教育、移动互联网教育,融资能力不足、营销不足
风度男人网,2020-04-14,2013-03-01,"风度男人是国内专业的专注于互联网男士时尚资讯的网站，精确满足18—40岁的男性需求是公司的目标。现代男性生活中，时尚元素也在慢慢觉醒，越来越多的爱美男士也愿意在服装搭配和美容保健方面投入更多的时间和金钱，从而提升自身的品味修养。风度男人男士时尚网站向男士提供学习时尚和自我展示的平台，同时也给有相关需求的女性网友提供男士产品的搭配、使用心得和购物指导。
",文娱传媒,山东,尚未获投,2601,https://cdn.itjuzi.com/images/4e7ac143b00ed50fb9239de3e9d9349e.png,美业、媒体及阅读、文娱传媒、时尚媒体,烧钱、融资能力不足、行业竞争
卓科达,2020-04-14,2009-06-01,深圳市卓科达科技有限公司是一家综合性的研发企业，主要从事警用执法仪、多功能现场取证仪、行车记录仪、手持录像机、无线家庭监控录像、电子助视器、MINI DV、便携式DVR、数码相机（DSC）、可录像门铃、手持录像机、可录钓鱼器、1.2G/2.4G/5.8G无线录像模组等消费类工业类数码产品研发、销售，同时还经营其他相关电子产品及元器件供销。,智能硬件,广东,不明确,3970,https://cdn.itjuzi.com/images/35654f3a8010d183021b651a1cda832b.jpg,制造业、硬件、3C电子、消费电子、销售、制造,营销不足
琥珀科技,2020-04-14,2016-02-01,琥珀科技是一个中小企业提供金融科技总体支持的企业，致力于金融科技总体支持解决方案，服务平台涵盖了互联网平台、移动平台，云软件开发。,金融,上海,A轮,1534,https://cdn.itjuzi.com/images/86c9a0f6733e558aa528c3eac0ca8958.png,Fintech金融科技、金融、金融信息化、金融综合服务、企业服务、行业信息化及解决方案、软件开发、中小企业,烧钱、融资能力不足、行业竞争
捷丰科技,2020-04-14,2015-02-01,捷丰科技是一家钢铁制品制造公司，公司主要从事钎钢、钎具和中空钢产品的研发、生产和销售。我们始终致力于为客户提供好的产品和技术支持、健全的售后服务。,先进制造,湖北,尚未获投,1899,https://cdn.itjuzi.com/images/c699ae4b3476605a520a189829b232e0.png,钢铁、生产制造、矿产资源、制造、新工业,行业竞争
维度创异,2020-04-14,2014-02-01,"维度创异是一家专注于高端建筑虚拟现实的开发与相关业务、面向高端别墅,高端旅游地产等领域的公司，主要服务项目包括麓山国际社区虚拟现实软件开发、九寨雲顶虚拟现实开发，达州商会小贷贷软件系统，双流县宣传视频开发等。",企业服务,四川,尚未获投,2264,https://cdn.itjuzi.com/images/d2be892abb34e318202d8b09a3de826c.png,虚拟商品、企业服务、视频广告、开发商、前沿技术、建筑、建筑业,融资能力不足、行业竞争
国士堂,2020-04-14,2015-12-01,链实习是企业实习生在线实习对接平台，提供线上实习培训、线上线下考核对接、实习工资托管支付等功能，隶属于国士堂（北京）教育科技有限公司。,教育,北京,尚未获投,1596,https://cdn.itjuzi.com/images/c70f0fe51c39672d36b8f401f18af5c6.jpg,职业教育、企业培训、实习、高等教育、就业指导、大学生就业、招生就业、教育科技、兼职实习、泛教育,烧钱、融资能力不足、行业竞争
富唐海外,2020-04-14,2019-03-01,富唐海外是一家海外资产配置机构。成立于2019年，隶属于富唐融汇（北京）咨询服务有限公司。,房产服务,北京,尚未获投,410,https://cdn.itjuzi.com/images/qR8KNo6tW4PMeyjDuBMHpR92Mwv3PLRSHkcIg7Hu.png,房产服务、房产信息化、房产综合服务、房产中介、海外房产、房产交易,烧钱、行业竞争
工盒科技,2020-04-14,2018-08-01,工盒科技是一家针对中国工业品市场发布的全新品牌，为五金及工业耗品的商户、经销商和生产商提供SAAS系统服务平台，包括工业品询报价、工业品数据库查询、库存管理系统和移动电商平台。创办了“LUOSI.COM”等B2B网站。,电子商务,广东,尚未获投,622,https://cdn.itjuzi.com/images/222931a46b6bfdbcd0d38f97975c0a90.png,SAAS、企业服务、其他企业服务、电子商务、大宗商品、行业垂直型SaaS、大数据服务,烧钱、行业竞争
寻游CTS,2020-04-14,2016-12-01,寻游CTS是一家旅游行程智能规划平台，利用大数据人工智能技术，为旅游行业打造旅游行程智能规划平台，帮助旅游业提升工作效率，降低人力成本，让互联网+旅游为传统旅游产业赋能，隶属于寻游旅行（深圳）股份有限公司。,旅游,广东,已被收购,1230,https://cdn.itjuzi.com/images/3cc37704e0c9eb99be8c4516c7028626.png,线路规划、人工智能、大数据、旅游、旅游信息化、其他旅游服务、传统行业互联网化、智慧旅游、旅游大数据、基础层、新基建,烧钱、融资能力不足、行业竞争
小葱,2020-04-14,2015-12-01,小葱是一家区块链垂直媒体，为全球投资者及区块链从业人士提供数字货币和区块链领域领先的资讯、行情、数据服务和研究报告。深圳前海砖块金融服务有限公司旗下。,区块链,广东,A轮,1596,https://cdn.itjuzi.com/images/f7741f8e8ad56903836ad35807bddc8c.png,垂直媒体、媒体及阅读、区块链、文娱传媒、数字货币、区块链媒体及社区、虚拟数字货币、区块链数据服务、区块链金融、区块链媒体、区块链行情、区块链社区,现金流断裂
食忆dessert,2020-04-14,2014-09-01,食忆dessert是一个以烘焙食品为中心的自营电商品牌，主打马卡龙甜品，且深究其口味，致力于打造烘焙生态圈。隶属于北京壹加壹科技有限公司。,本地生活,北京,天使轮,2052,https://cdn.itjuzi.com/images/f4fe27e83924406a5033f134febaef06.png,垂直电商、食品、独立品牌、O2O、本地生活、美食餐饮、糕点烘焙、电商、消费生活、美食菜谱、电商经营模式、吃、烘焙品牌,业务过于分散、融资能力不足、营销不足
来来数字科技,2020-04-14,2015-07-01,来来数字科技是为二次元人群打造一个专属互动平台。该平台致力于建立起二次元到三次元的桥梁。产品定位于网络深度使用群体中垂直细分的ACG爱好者群体，通过主题板块等形式，解决用户缺少泛二次元文化半封闭式分享、交流平台的痛点。,文娱传媒,北京,尚未获投,1749,https://cdn.itjuzi.com/images/7a1d4140240273e103cad856742fc33d.png,二次元、动漫、ACG、文娱传媒,烧钱、融资能力不足、行业竞争
咕咕派,2020-04-14,2011-01-01,咕咕派是台湾一家横跨海峡两岸的国际餐饮管理公司，致力于以休闲餐饮品牌的运营管理为核心业务，实施包括项目投资、连锁经营和品牌管理为一体的多元化运营机制，试图成为一流的管理现代化、项目精品化、经营专业化和品牌创新化的大型连锁食品品牌管理机构。,本地生活,北京,尚未获投,3391,https://cdn.itjuzi.com/images/e8766c6971b0e9f532b6de301249af08.jpg,餐饮信息化、食品、独立品牌、本地生活、美食餐饮、商户服务及信息化、连锁、生活服务、餐饮业、餐饮品牌、餐饮支撑服务、连锁餐饮,烧钱、营销不足、行业竞争
至诚征信,2020-04-14,2016-03-01,至诚征信是海航资本集团旗下征信业务的主要载体公司，借助海航集团发展现代金融服务业浪潮，面对传统信贷及互联网金融行业发展的迫切需求，沿着大数据业务、企业征信、个人征信、资信评估的发展道路，把握消费端、资产端海量资源，从大数据中攫取价值，提供消费级获客端、企业级风控端服务，结合信贷客户与海航集团金融服务资源，切入消费金融市场和企业金融市场，旨在成为海航集团金融服务的基础支撑平台。,金融,海南,尚未获投,1505,https://cdn.itjuzi.com/images/d2ac75750561946b56de0fc4a49eb3e2.png,Fintech金融科技、金融、信用及征信、金融综合服务、借贷、企业征信、个人征信、大数据征信、风控、金融服务平台、信用贷款、金融大数据、大数据风控,政策监管、法律法规风险
非常有财,2020-04-13,2015-06-01,非常有财隶属于爱保融（天津）网络科技有限公司，是一家基于商业保理，融资租赁，票据类行业的互联网金融信息平台，致力于探索，筛选债权的优质化，努力为投资者提供交易背景真实、信息透明、债权明确、还款有保障的低风险、高收益的产品。,金融,天津,不明确,1778,https://cdn.itjuzi.com/images/768cbd88138c704086f4011678d93989.jpg,票据理财、股权融资、金融、理财、借贷、理财平台、企业融资、融资租赁、投资理财、企业金融、商业保理,烧钱、融资能力不足、行业竞争
点速货的,2020-04-13,2018-12-01,"点速货的是一家定制物流运力配送公司，为企业、商家、电商提供专业配送方案、配送团队、服务KPⅠ等特殊定制物流。
",物流,广东,尚未获投,499,https://cdn.itjuzi.com/images/f5ad6f662d53fa8607038e75f0f2fbd3.png,物流、物流信息化、物流运输,烧钱、行业竞争
维度生物,2020-04-13,2017-03-01,"维度生物是一家3D打印骨科医疗器械研发商，致力于打造以3D打印技术为核心的骨科创新医疗器械产品研发平台，重点培育可个性化定制的3D打印多孔钛合金植入产品、可生物降解的3D打印骨科植入物产品以及自动化骨科手术机器人项目，已研发出3D打印可降解椎间融合器及3D打印个性化定制人工椎体等产品。
",医疗健康,广东,尚未获投,1139,https://cdn.itjuzi.com/images/7a35c17f978db573bdbc1fd41f5f640d.png,医疗设备、医疗健康、医疗器械及硬件、医疗器械、智能医疗设备、手术器械,烧钱、融资能力不足、行业竞争
马安联盟,2020-04-13,2018-10-01,马安联盟是一个专业服务于商家创业的小助手，让商家之间可以联盟创业，软件可以帮助用户一键组队交流创业，用户可以选择兼职或者全职来进行创业，是马安分期（北京）科技有限公司旗下产品。,企业服务,北京,尚未获投,560,https://cdn.itjuzi.com/images/91774a14c7bd96bd1dd9d166d0e50a34.png,创业服务、商户服务及信息化、企业服务、人力资源、创业咨询,商业模式匮乏、行业竞争
爸妈热点,2020-04-13,2016-06-01,爸妈热点是一款专属于爸妈感兴趣的的资讯社交APP。团队致力于为爸妈这个群体提供个性化定制的精准新闻资讯以及优质的话题圈子，帮助用户在日益爆发的信息洪流中快速捕捉到最核心最需要的资讯。,社交网络,北京,尚未获投,1412,https://cdn.itjuzi.com/images/4d2db956358a3c368e6db20b14ee10f5.png,O2O、平台、群组社交、问答网站、其他社交、互助社区、社交网络、社交、社区论坛、交友社区、问答社区,现金流断裂、营销不足
小魔瓶,2020-04-13,2017-11-01,小魔瓶是一款匿名社交软件，所有的魔瓶绝对私密，在这里没有头像，没有个人主页，不能关注、搜索和转发，每次对话都可以改名字，隶属于深圳市雪候鸟科技有限公司。,社交网络,广东,尚未获投,894,https://cdn.itjuzi.com/images/61c2c6fd0608ee6c6726a59add568710.png,匿名社交、其他社交、社交网络、社交、陌生人社交、社交平台、交友社区,产品入场时机、烧钱、行业竞争
简鸽,2020-04-13,2015-06-01,简鸽隶属于重庆小村科技有限公司，是一个社交关系管理平台，致力于为用户打造有温度的社交体验，试图让人与人的联系更加密切、了解更加深入、沟通更加方便。,社交网络,重庆,尚未获投,1778,https://cdn.itjuzi.com/images/f56bbf162c52f38eec8d9165b7fb92a1.jpg,其他社交、社交网络、人脉管理、社交,产品入场时机、烧钱、行业竞争
奥农丰汇,2020-04-13,2017-05-01,"四川奥农丰汇农业科技有限公司结合大数据、云计算、区块链、物联网的特点和趋势，致力于打造为中小微农业企业服务的“平台+基地+农业”新业态，通过资源整合、抱团发展，让更多的中小微企业节省运营成本，在当下三农政策中获取红利，并放心做产品、用心塑品牌，在新电商模式下快速向前发展。
",农业,四川,尚未获投,1078,https://cdn.itjuzi.com/images/2ab810bcfccbe9243d619e1d765afe95.png,农业、智慧农业、农业科技、农业服务、农业大数据、区块链农业,商业模式匮乏
买果果,2020-04-10,2014-08-01,买果果是一个社区生鲜O2O平台，首创水果电商行业内的包月模式，以国内外精选优质水果为基础，以新颖的产品包装及营销形式，通过社会化营销、社群及粉丝文化的打造，让购买水果变成一种时尚、健康、便捷的生活方式。,电子商务,河南,种子轮,2079,https://cdn.itjuzi.com/images/3c3d1300e6596bde91b0f328c4225375.png,水果、粉丝经济、时尚潮品、O2O、B2C、电子商务、生鲜食品、购物社区、电商、消费生活、生活美学、果蔬配送、蔬菜水果、电商经营模式、水果B2B、生鲜电商、订阅/包月、吃,烧钱、融资能力不足、行业竞争
友仔,2020-04-10,2015-06-01,友仔是一个由专业犬舍提供犬只的宠物交易平台，由专业犬舍提供保障健康、颜值、个性稳定的犬只，提供犬舍审核，犬只健康担保，交易额担保，隶属于上海钰宠宠物用品有限公司。,电子商务,上海,A轮,1775,https://cdn.itjuzi.com/images/ad27a081b9da5c66658f7e96161de6ab.png,垂直电商、B2C、宠物服务、电子商务、其他电商服务、宠物社区、电商、消费生活、宠物交易、电商经营模式、宠物用品,烧钱、行业竞争
蛋解传媒,2020-04-10,2013-01-01,蛋解传媒是一家营销传播服务平台，提供全供应链一站式服务，以网络营销理论为依据，提供网络营销策略、策略执行与效果评估等服务，拥有微博、微信、BBS/SNS、论坛等资源。,广告营销,四川,天使轮,2656,https://cdn.itjuzi.com/images/777238a563aaca588d8b376fb62dc919.png,供应链、微信营销、微博营销、自媒体、微信等腾讯平台、微博平台、平台、广告营销、整合营销传播、数字营销、整合营销,融资能力不足、营销不足
蓝波万,2020-04-10,2013-08-01,蓝波万是一家中国新型网络游戏运营公司，公司经营业务主要是第二类增值电信业务中的互联网信息服务业务，及计算机软硬件开发与销售，本公司可向客户提供有效而稳定的应用服务，充分发挥其在信息提供，经营管理，市场运作等方面的优势。,游戏,福建,不明确,2444,https://cdn.itjuzi.com/images/b06f1a80bcaad9cb39371ba536a53199.png,游戏、游戏外包、游戏发行及渠道、游戏运营、游戏发行、游戏/电竞、游戏渠道,烧钱、行业竞争
真会玩,2020-04-10,2017-03-01,真会玩专注手机互联网应用开发和运营。致力于打造最前端的游戏泛娱乐类的视频和资讯平台。,游戏,广东,天使轮,1136,https://cdn.itjuzi.com/images/ebc0568e951f2550d7f06e1cf843a834.png,游戏、游戏媒体及社区,烧钱、行业竞争
懂行,2020-04-10,2015-08-01,懂行是一款发现高手的社区新媒体，打造个人价值与邻里成长的共生平台，告别传统人情式的经验分享模式，突破个体有限的熟人圈子，让你获得最大化的智慧共享体验。,社交网络,重庆,天使轮,1714,https://cdn.itjuzi.com/images/6c66ecd5f8a977c84aa922f710fd6e58.png,新媒体、邻里社区、熟人社交、其他社交、社交网络、社交、社区论坛、邻里社交,市场伪需求、商业模式匮乏
邻犀,2020-04-10,2018-01-01,“邻犀”是厦门圳达信息科技有限公司旗下一款小区共享社交APP，致力于拉近同一小区居民的距离，实现小区内部资源共享。,本地生活,福建,尚未获投,830,https://cdn.itjuzi.com/images/74538c96fa0b5b17bc2640b1d87e49e6.png,本地生活、小区服务、生活服务,烧钱、行业竞争
青讯传媒,2020-04-09,2014-03-01,青讯传媒是一家校园数字化传媒公司。立足于校园数字化建设，为高校提供数字化公告传播方案，从而获得校园优质媒体资源。通过对校园传播及营销的深刻理解，为客户在校园范围内提供广告传播，活动策划及执行，校园市场分销等多项业务服务。,文娱传媒,广东,尚未获投,2231,https://cdn.itjuzi.com/images/549ddcd96350437380b683edbc13d275.png,设计及创意、文化娱乐、文娱传媒,烧钱、融资能力不足、行业竞争
启辰,2020-04-09,2017-04-01,启辰是一家物联网智能灯设备专业制造商，是集研发、生产、销售和服务为一体的高科技企业，产品广泛用于工业、商业、机关、学校等领域的室内外照明和智能工程改造。,生产制造,广东,尚未获投,1104,https://cdn.itjuzi.com/images/41e957c33e1438b03ed3b77cc53bf9c9.png,智能制造、智能物联网、物联网设备、销售与营销、制造、新工业、机械设备,烧钱、行业竞争
迈迪防,2020-04-09,2018-06-01,迈迪防是一家专注于云防护、互联网游戏开发及大数据分析的高新技术企业。公司总部位于湖南省长沙市天心区人力资源产业园创新中心，核心团队由前BAT互联网安全团队及互联网游戏以及互联网金融高管组成。我们始终坚持持续的技术创新，是一家高速成长的互联网新锐公司。希望构建开放的安全平台。,企业服务,湖南,尚未获投,678,https://cdn.itjuzi.com/images/3df992dee7141cf9f87c3b3987d8169e.png,云计算、人力资源、信息安全、云服务、大数据技术、企业通用服务、大数据服务、云安全,烧钱、融资能力不足、行业竞争
布谷惠付,2020-04-09,2014-11-01,布谷惠付原名为布谷钱包，是一款为大学生打造的移动金融助手APP，让大学生只需一部手机就可以随时随地快速付款，专享优惠活动，让生活更便捷。软件特色：全新设计，布谷新形象诞生，与之而来的是全新的用户界面，灵动而优雅，使用更顺手；缤纷红包，红包功能上线，新手有红包、分享有红包，各类红包百花齐放，包包有惊喜；商家活动，精美商家页面轻松切换学校、查看优惠活动，商家更多、分类更全；经典延续，金银布谷*省钱多，布谷时期标志更换，优惠不断尽享信用优惠；为珠海酷谷信息技术有限公司旗下产品。,金融,广东,种子轮,1986,https://cdn.itjuzi.com/images/4a329795526f7f45e62c1cf2690728cc.png,移动支付、金融、支付、信用及征信、金融服务平台,政策监管、法律法规风险
你猜网络,2020-04-09,2017-06-01,你猜网络是一家专注于移动互联网领域公司，是山东水手科技控股上海分公司，主要从事于“都玩APP“项目的开发及全国招商自运营。,企业服务,上海,尚未获投,1043,https://cdn.itjuzi.com/images/a9ea9fdd2a7fbd21ac84d8f743091a85.png,APP、企业服务、销售营销、运营管理、销售与营销,烧钱、融资能力不足、行业竞争
鼎润通达,2020-04-09,2001-11-01,鼎润通达是一家专注于专业音频市场推广、销售、租赁、集成和技术服务的民营企业，拥有20多个国际一流品牌的中国大陆、香港、澳门的独家总代理权，同时代理销售专业音频器材，公司主要面对的消费群体为：广播电台、电视台、电影厂、电视剧制作中心、个人自由职业录音师、商业扩声公司等。,企业服务,北京,尚未获投,6734,https://cdn.itjuzi.com/images/637e2f2abf63477fcdbf8d2d9b082cf3.png,租赁、企业服务、销售营销、销售、代理、销售与营销,烧钱、融资能力不足、行业竞争
零壹无界,2020-04-08,2018-01-01,零壹无界是一家金融科技公司。它拥有信息技术和金融业务运营经验，主要业务有实时风控，大数据分析，营销获客，精细化运营。,金融,北京,天使轮,828,https://cdn.itjuzi.com/images/5e2c11627a2c55efe5ece0dc0c0759b9.png,金融、金融信息化、大数据风控、运营数据分析、大数据服务,烧钱、行业竞争
花贝,2020-04-08,2015-06-01,花贝是一款互联网分期消费平台，无需担保无抵押，额度多样，只需身份证即可在线申请，纯线上操作，邀请好友还可以获取免息券，致力于为用户提供安全、便捷、专业的分期消费服务，隶属于上海群亚金融信息服务有限公司旗下。,金融,上海,尚未获投,1773,https://cdn.itjuzi.com/images/7ee75fc66d70a13fcd7de553bde604af.png,分期付款、消费金融、金融、借贷、分期消费、借贷平台、担保,政策监管、法律法规风险
热辣生活,2020-04-08,2010-03-01,热辣生活是麻辣诱惑旗下的熟食连锁品牌，产品涵盖卤味、佐餐凉菜、热食、点心饮品等。北京麻辣诱惑食品有限公司旗下产品。,本地生活,北京,B轮,3691,https://cdn.itjuzi.com/images/3c531bbf33e360aebd39a436fbfd7a4a.jpg,生鲜、独立品牌、本地生活、美食餐饮、连锁、连续获投、融资节奏快、餐饮业、连锁餐饮,烧钱、现金流断裂
善从科技,2020-04-08,2010-10-01,深圳市善从科技有限公司致力于家庭智能服务，产品涉足智能家居、安防等。,智能硬件,广东,不明确,3477,https://cdn.itjuzi.com/images/archive/298.png,物联网、安防设备、创客、硬件、智能家居、智能服饰、智能安防、仪器设备、物联网应用,现金流断裂、营销不足
找主播,2020-04-08,2016-05-01,找主播是一个直播广告平台，专门由主播编写广告剧本，定制植入式广告出现的场景、时间、次数，隶属于北京像素宝盒科技有限公司。,文娱传媒,北京,尚未获投,1438,https://cdn.itjuzi.com/images/c4c01b14fee5a962a3d1042604e9653d.png,直播、展示广告、视频、定制、广告平台、文化娱乐、直播平台、视频直播、主播,融资能力不足、营销不足
易热云,2020-04-08,2015-09-01,易热云是一家智能楼宇物联网服务平台，专注于LonWorks、BACnet、ModBus等总线物联网技术的研发，从而进行节能、智能楼宇等项目的研发、设计和实施。将现代科学技术和居住环境艺术相结合，致力于城市智能化建设。,房产服务,广东,尚未获投,1681,https://cdn.itjuzi.com/images/7caad0a243fb6a2b77a74bfca1dac854.png,物联网、智慧城市、房产服务、其他房产服务、物联网技术,烧钱、行业竞争
神鹿快跑,2020-04-08,2018-01-01,神鹿快跑是一个专业定制巴士平台。通过互联网+定制巴士的方式，收集消费者的出行需求，经过大数据处理后合理调配，整合巴士资源，合理规划路线，为消费者提供便捷、经济、舒适的出行服务。搭建互联网+大数据出行平台，旨在解决全国高校学生出行难等问题，打造领先的网约直达巴士出行平台。,企业服务,山东,尚未获投,828,https://cdn.itjuzi.com/images/b72c2cad67ca8c4ae1fcd4ea0ee7ab20.png,定制、企业服务、其他企业服务、互联网+、大数据服务,烧钱、融资能力不足、行业竞争
元素链,2020-04-08,2017-10-01,元素链致力于利用区块链技术让场外衍生品交易、全球信贷、资产证券化、互助保险、供应链金融、家族信托等金融领域更加透明与高效，从根本上解决价值交换中存在的欺诈与寻租现象。,区块链,浙江,尚未获投,920,https://cdn.itjuzi.com/images/a39675f6bad933a99157e70594c6f3f4.png,Fintech金融科技、金融、金融信息化、区块链、区块链行业应用、区块链金融,融资能力不足、行业竞争
歌途文化,2020-04-08,2013-04-01,歌途文化产品依托背后的大数据处理平台将大力推动中国智能城市发展中的无线网络需求，为广大市民带来便民、利民和惠民的生活方式的改变，对企业而言，大大提升自身运营效力，降低运营成本，提升竞争力。,先进制造,广东,尚未获投,2564,https://cdn.itjuzi.com/images/5d91fc1ba552cd271a552924d8214678.png,WiFi、工业4.0、无线网络、WiFi网络、新工业,烧钱、行业竞争
亿林润网络,2020-04-08,2016-02-01,亿林润网络是一家专注于翻译服务的公司，公司致力于打造一个资源整合型翻译平台，为客户提供多语种翻译服务，目前公司旗下产品有“随译聊APP”，是一款共享经济下的真人实时在线翻译软件。,企业服务,北京,尚未获投,1528,https://cdn.itjuzi.com/images/c078c939354ff66c0f113f3f6961de1d.png,翻译、共享经济、APP、企业服务、其他企业服务、小语种语言,烧钱、融资能力不足、行业竞争
一美空间设计,2020-04-08,2016-07-01,一美空间设计咨询致力于为全国各地客户提供餐饮、酒店、商业空间设计，同时作为领先的餐饮业一站式服务商为全国各地客户提供餐饮设计、策划、装饰、配饰、施工及移动营销等全方位的服务。,本地生活,北京,不明确,1377,https://cdn.itjuzi.com/images/10e44c53f80ca6683636268e477cfc6b.png,本地生活、美食餐饮、生活服务、餐饮连锁、餐饮业、连锁餐饮、饰品、住,烧钱、行业竞争
吉米宠物社区,2020-04-08,2014-09-01,吉米宠物是一个宠物社交平台，每天分享和宠物的搞怪趣事，讨论宠物的一些护理方法和健康咨询，还能找到周边的宠物服务店，以宠会友，寻找同样喜欢宠物的小伙伴，是成都开外卖电子商务有限公司旗下产品。,社交网络,四川,尚未获投,2046,https://cdn.itjuzi.com/images/4b16beaf0cfde9e8afde2e7921b40141.png,兴趣社区、社交网络、宠物社区、社交、兴趣社交、宠物社交,产品入场时机、烧钱、行业竞争
九怀技术,2020-04-08,2016-12-01,九怀技术是一家以跨境电商为核心的一站式服务平台，致力于跨境电商相关所有的服务，技术，培训等相关服务与软件开发。,电子商务,浙江,尚未获投,1224,https://cdn.itjuzi.com/images/557c93372b3469fffac07d70cd747f10.png,电子商务、跨境电商、电商、软件开发、服务平台、跨境,烧钱、融资能力不足、行业竞争
金铂汇乐,2020-04-08,2015-07-01,金铂汇乐隶，是一家专门从事证券软件产品的研发、销售、售后服务及证券专业知识的推广与普及的综合性服务企业。致力于帮助投资者树立正确的投资理念、掌握投资技巧、分析投资信息，凭借最先进的知识和最发达的武器在投资中受益。属于弘历集团。,金融,江苏,不明确,1743,https://cdn.itjuzi.com/images/37f4e435032410b81fb05ae635a186eb.png,开发者服务、开发工具、金融、金融信息化、技术VC、证券、销售与营销,市场伪需求、烧钱
微笑妈咪,2020-04-08,2016-02-01,"微笑妈咪是一款健康医疗应用，为用户打造一个妇幼医疗服务平台，用户可以通过app预约妇幼保健服务，更有孕育课程以及专家咨询，是杭州萧山互联网妇儿医院有限公司旗下产品。
",医疗健康,浙江,尚未获投,1528,https://cdn.itjuzi.com/images/2a0829d2db009ad550d1aefaeff3b13a.png,医疗健康、专科服务、健康保健、妇幼保健、养生保健、健康养老、医疗机构、医院、医疗咨询,烧钱、融资能力不足、行业竞争
JoBest,2020-04-08,2015-09-01,JoBest是一家企业人才服务商，公司致力于通过广告思维和猎头理念解决公司人才流失问题，公司愿景是成为一家帮助人才了解、融入、造福企业，帮助企业吸引、留住、发展人才的公司，定位于中小微企业 |以及中高端人才，隶属于北京领途汇才科技有限公司。,企业服务,北京,尚未获投,1681,https://cdn.itjuzi.com/images/524fa92b24a5abebe1ecf2c21fa9a98a.png,猎头、人力资源、广告传播、人才培训、人才输送,融资能力不足、行业竞争
金麟展科技,2020-04-07,2013-01-01,金麟展科技是一家致力于移动互联网软件的开发，通讯设备定制和运营为一体的公司，专线电话是旗下一个为智能终端提供即时通讯服务的应用软件，支持跨通信运营商、跨操作系统平台通过移动网络拨打电话。,工具软件,广东,不明确,2653,https://cdn.itjuzi.com/images/ba9aa0162dcfe64f8c853220997e7bb8.png,网络电话、定制、工具软件、操作系统、系统工具、无线通讯、开发商,烧钱、融资能力不足、行业竞争
